Model: cuboids_0.7_0
Mesh: TriangleMesh with 223016 points and 334524 triangles.
Camera Bounds: (0.005, 0.005, 0.02)
Start Point: [-0.33  0.1  -0.44]
Goal Point: [ 0.22 -0.16 -0.44]
Max Time Per Path: 5

Planner: PRM
  Status: Successful
  Total Time Taken: 10.37 seconds
  Number of Paths: 100
  Average Path Length: 0.723
  Shortest Path Length: 0.65
  Longest Path Length: 0.92
  Path Length Std Dev: 0.04982971001320397
  Average Time Per Path: 0.10009999999999998 seconds
  Time Per Path Std Dev: 0.0009949874371066195 seconds

  Paths:
    Path 68: Length = 0.62 units, Duration = 5.03 seconds
    Path 69: Length = 0.62 units, Duration = 5.04 seconds
    Path 70: Length = 0.62 units, Duration = 5.06 seconds
    Path 71: Length = 0.62 units, Duration = 5.04 seconds
    Path 72: Length = 0.62 units, Duration = 5.03 seconds
    Path 73: Length = 0.62 units, Duration = 5.03 seconds
    Path 74: Length = 0.62 units, Duration = 5.03 seconds
    Path 75: Length = 0.62 units, Duration = 5.03 seconds
    Path 76: Length = 0.62 units, Duration = 5.05 seconds
    Path 77: Length = 0.62 units, Duration = 5.03 seconds
    Path 78: Length = 0.62 units, Duration = 5.03 seconds
    Path 79: Length = 0.63 units, Duration = 5.03 seconds
    Path 80: Length = 0.62 units, Duration = 5.04 seconds
    Path 81: Length = 0.62 units, Duration = 5.03 seconds
    Path 82: Length = 0.63 units, Duration = 5.05 seconds
    Path 83: Length = 0.62 units, Duration = 5.04 seconds
    Path 84: Length = 0.63 units, Duration = 5.03 seconds
    Path 85: Length = 0.62 units, Duration = 5.03 seconds
    Path 86: Length = 0.62 units, Duration = 5.04 seconds
    Path 87: Length = 0.62 units, Duration = 5.03 seconds
    Path 88: Length = 0.62 units, Duration = 5.06 seconds
    Path 89: Length = 0.62 units, Duration = 5.03 seconds
    Path 90: Length = 0.62 units, Duration = 5.02 seconds
    Path 91: Length = 0.62 units, Duration = 5.03 seconds
    Path 92: Length = 0.62 units, Duration = 5.06 seconds
    Path 93: Length = 0.62 units, Duration = 5.03 seconds
    Path 94: Length = 0.62 units, Duration = 5.05 seconds
    Path 95: Length = 0.62 units, Duration = 5.04 seconds
    Path 96: Length = 0.64 units, Duration = 5.03 seconds
    Path 97: Length = 0.62 units, Duration = 5.03 seconds
    Path 98: Length = 0.62 units, Duration = 5.03 seconds
    Path 99: Length = 0.65 units, Duration = 5.03 seconds
    Path 100: Length = 0.62 units, Duration = 5.06 seconds

Planner: BITstar
  Status: Successful
  Total Time Taken: 523.26 seconds
  Number of Paths: 100
  Average Path Length: 0.6564000000000001
  Shortest Path Length: 0.63
  Longest Path Length: 0.67
  Path Length Std Dev: 0.01005186549850326
  Average Time Per Path: 5.2329 seconds
  Time Per Path Std Dev: 0.5540420471408285 seconds

  Paths:
    Path 1: Length = 0.66 units, Duration = 5.03 seconds
    Path 2: Length = 0.66 units, Duration = 5.01 seconds
    Path 3: Length = 0.65 units, Duration = 5.02 seconds
    Path 4: Length = 0.65 units, Duration = 5.03 seconds
    Path 5: Length = 0.64 units, Duration = 5.06 seconds
    Path 6: Length = 0.66 units, Duration = 5.04 seconds
    Path 7: Length = 0.66 units, Duration = 5.03 seconds
    Path 8: Length = 0.65 units, Duration = 5.64 seconds
    Path 9: Length = 0.67 units, Duration = 7.27 seconds
    Path 10: Length = 0.66 units, Duration = 5.01 seconds
    Path 11: Length = 0.64 units, Duration = 6.39 seconds
    Path 12: Length = 0.64 units, Duration = 5.38 seconds
    Path 13: Length = 0.65 units, Duration = 5.02 seconds
    Path 14: Length = 0.66 units, Duration = 6.6 seconds
    Path 15: Length = 0.65 units, Duration = 5.02 seconds
    Path 16: Length = 0.66 units, Duration = 5.05 seconds
    Path 17: Length = 0.63 units, Duration = 5.04 seconds
    Path 18: Length = 0.66 units, Duration = 5.03 seconds
    Path 19: Length = 0.66 units, Duration = 5.05 seconds
    Path 20: Length = 0.66 units, Duration = 5.06 seconds
    Path 21: Length = 0.66 units, Duration = 5.02 seconds
    Path 22: Length = 0.67 units, Duration = 5.05 seconds
    Path 23: Length = 0.66 units, Duration = 5.04 seconds
    Path 24: Length = 0.67 units, Duration = 5.04 seconds
    Path 25: Length = 0.66 units, Duration = 5.05 seconds
    Path 26: Length = 0.66 units, Duration = 7.32 seconds
    Path 27: Length = 0.66 units, Duration = 5.06 seconds
    Path 28: Length = 0.66 units, Duration = 5.03 seconds
    Path 29: Length = 0.64 units, Duration = 5.22 seconds
    Path 30: Length = 0.65 units, Duration = 5.08 seconds
    Path 31: Length = 0.66 units, Duration = 5.03 seconds
    Path 32: Length = 0.63 units, Duration = 5.04 seconds
    Path 33: Length = 0.67 units, Duration = 5.05 seconds
    Path 34: Length = 0.66 units, Duration = 5.04 seconds
    Path 35: Length = 0.67 units, Duration = 5.03 seconds
    Path 36: Length = 0.66 units, Duration = 5.28 seconds
    Path 37: Length = 0.66 units, Duration = 5.02 seconds
    Path 38: Length = 0.63 units, Duration = 5.03 seconds
    Path 39: Length = 0.66 units, Duration = 5.06 seconds
    Path 40: Length = 0.66 units, Duration = 6.73 seconds
    Path 41: Length = 0.65 units, Duration = 5.04 seconds
    Path 42: Length = 0.66 units, Duration = 5.06 seconds
    Path 43: Length = 0.67 units, Duration = 5.05 seconds
    Path 44: Length = 0.66 units, Duration = 5.42 seconds
    Path 45: Length = 0.67 units, Duration = 5.05 seconds
    Path 46: Length = 0.65 units, Duration = 5.04 seconds
    Path 47: Length = 0.63 units, Duration = 5.04 seconds
    Path 48: Length = 0.66 units, Duration = 5.02 seconds
    Path 49: Length = 0.67 units, Duration = 5.05 seconds
    Path 50: Length = 0.66 units, Duration = 5.01 seconds
    Path 51: Length = 0.65 units, Duration = 5.05 seconds
    Path 52: Length = 0.66 units, Duration = 5.03 seconds
    Path 53: Length = 0.66 units, Duration = 5.04 seconds
    Path 54: Length = 0.66 units, Duration = 5.04 seconds
    Path 55: Length = 0.66 units, Duration = 5.05 seconds
    Path 56: Length = 0.66 units, Duration = 5.01 seconds
    Path 57: Length = 0.66 units, Duration = 5.04 seconds
    Path 58: Length = 0.66 units, Duration = 5.02 seconds
    Path 59: Length = 0.65 units, Duration = 5.03 seconds
    Path 60: Length = 0.66 units, Duration = 5.03 seconds
    Path 61: Length = 0.67 units, Duration = 5.05 seconds
    Path 62: Length = 0.66 units, Duration = 5.02 seconds
    Path 63: Length = 0.66 units, Duration = 5.05 seconds
    Path 64: Length = 0.65 units, Duration = 5.04 seconds
    Path 65: Length = 0.66 units, Duration = 5.04 seconds
    Path 66: Length = 0.66 units, Duration = 5.01 seconds
    Path 67: Length = 0.66 units, Duration = 5.05 seconds
    Path 68: Length = 0.66 units, Duration = 7.39 seconds
    Path 69: Length = 0.66 units, Duration = 5.04 seconds
    Path 70: Length = 0.66 units, Duration = 5.04 seconds
    Path 71: Length = 0.67 units, Duration = 5.01 seconds
    Path 72: Length = 0.66 units, Duration = 5.02 seconds
    Path 73: Length = 0.66 units, Duration = 5.03 seconds
    Path 74: Length = 0.66 units, Duration = 5.05 seconds
    Path 75: Length = 0.66 units, Duration = 5.05 seconds
    Path 76: Length = 0.66 units, Duration = 5.04 seconds
    Path 77: Length = 0.65 units, Duration = 5.02 seconds
    Path 78: Length = 0.66 units, Duration = 5.03 seconds
    Path 79: Length = 0.66 units, Duration = 5.03 seconds
    Path 80: Length = 0.63 units, Duration = 5.05 seconds
    Path 81: Length = 0.66 units, Duration = 5.53 seconds
    Path 82: Length = 0.66 units, Duration = 5.03 seconds
    Path 83: Length = 0.66 units, Duration = 5.33 seconds
    Path 84: Length = 0.66 units, Duration = 7.13 seconds
    Path 85: Length = 0.65 units, Duration = 5.06 seconds
    Path 86: Length = 0.64 units, Duration = 5.05 seconds
    Path 87: Length = 0.67 units, Duration = 5.04 seconds
    Path 88: Length = 0.67 units, Duration = 5.04 seconds
    Path 89: Length = 0.63 units, Duration = 5.37 seconds
    Path 90: Length = 0.66 units, Duration = 5.04 seconds
    Path 91: Length = 0.66 units, Duration = 5.06 seconds
    Path 92: Length = 0.66 units, Duration = 5.05 seconds
    Path 93: Length = 0.64 units, Duration = 5.24 seconds
    Path 94: Length = 0.65 units, Duration = 5.03 seconds
    Path 95: Length = 0.66 units, Duration = 5.05 seconds
    Path 96: Length = 0.64 units, Duration = 5.26 seconds
    Path 97: Length = 0.66 units, Duration = 5.06 seconds
    Path 98: Length = 0.67 units, Duration = 7.48 seconds
    Path 99: Length = 0.64 units, Duration = 5.24 seconds
    Path 100: Length = 0.65 units, Duration = 5.02 seconds

Planner: ABITstar
  Status: Successful
  Total Time Taken: 528.74 seconds
  Number of Paths: 100
  Average Path Length: 0.6547000000000002
  Shortest Path Length: 0.62
  Longest Path Length: 0.67
  Path Length Std Dev: 0.010995908329919825
  Average Time Per Path: 5.287299999999999 seconds
  Time Per Path Std Dev: 0.6481509932106869 seconds

  Paths:
    Path 1: Length = 0.65 units, Duration = 5.04 seconds
    Path 2: Length = 0.65 units, Duration = 5.03 seconds
    Path 3: Length = 0.66 units, Duration = 5.04 seconds
    Path 4: Length = 0.66 units, Duration = 5.02 seconds
    Path 5: Length = 0.66 units, Duration = 5.06 seconds
    Path 6: Length = 0.65 units, Duration = 5.02 seconds
    Path 7: Length = 0.66 units, Duration = 5.05 seconds
    Path 8: Length = 0.66 units, Duration = 5.04 seconds
    Path 9: Length = 0.66 units, Duration = 5.03 seconds
    Path 10: Length = 0.67 units, Duration = 5.01 seconds
    Path 11: Length = 0.66 units, Duration = 5.06 seconds
    Path 12: Length = 0.65 units, Duration = 5.02 seconds
    Path 13: Length = 0.66 units, Duration = 5.05 seconds
    Path 14: Length = 0.62 units, Duration = 8.72 seconds
    Path 15: Length = 0.66 units, Duration = 5.01 seconds
    Path 16: Length = 0.64 units, Duration = 5.02 seconds
    Path 17: Length = 0.66 units, Duration = 5.03 seconds
    Path 18: Length = 0.66 units, Duration = 5.06 seconds
    Path 19: Length = 0.65 units, Duration = 5.04 seconds
    Path 20: Length = 0.65 units, Duration = 5.03 seconds
    Path 21: Length = 0.66 units, Duration = 5.02 seconds
    Path 22: Length = 0.66 units, Duration = 5.03 seconds
    Path 23: Length = 0.66 units, Duration = 5.03 seconds
    Path 24: Length = 0.65 units, Duration = 7.56 seconds
    Path 25: Length = 0.65 units, Duration = 5.03 seconds
    Path 26: Length = 0.65 units, Duration = 5.03 seconds
    Path 27: Length = 0.66 units, Duration = 5.04 seconds
    Path 28: Length = 0.63 units, Duration = 5.05 seconds
    Path 29: Length = 0.64 units, Duration = 5.77 seconds
    Path 30: Length = 0.66 units, Duration = 5.04 seconds
    Path 31: Length = 0.66 units, Duration = 5.04 seconds
    Path 32: Length = 0.66 units, Duration = 5.03 seconds
    Path 33: Length = 0.67 units, Duration = 5.04 seconds
    Path 34: Length = 0.66 units, Duration = 5.04 seconds
    Path 35: Length = 0.64 units, Duration = 5.06 seconds
    Path 36: Length = 0.66 units, Duration = 5.04 seconds
    Path 37: Length = 0.66 units, Duration = 5.03 seconds
    Path 38: Length = 0.63 units, Duration = 5.03 seconds
    Path 39: Length = 0.66 units, Duration = 5.05 seconds
    Path 40: Length = 0.67 units, Duration = 5.04 seconds
    Path 41: Length = 0.63 units, Duration = 6.04 seconds
    Path 42: Length = 0.66 units, Duration = 5.04 seconds
    Path 43: Length = 0.66 units, Duration = 5.03 seconds
    Path 44: Length = 0.66 units, Duration = 5.02 seconds
    Path 45: Length = 0.65 units, Duration = 5.02 seconds
    Path 46: Length = 0.66 units, Duration = 5.02 seconds
    Path 47: Length = 0.65 units, Duration = 6.37 seconds
    Path 48: Length = 0.65 units, Duration = 5.04 seconds
    Path 49: Length = 0.66 units, Duration = 5.03 seconds
    Path 50: Length = 0.65 units, Duration = 5.06 seconds
    Path 51: Length = 0.66 units, Duration = 5.06 seconds
    Path 52: Length = 0.65 units, Duration = 5.6 seconds
    Path 53: Length = 0.66 units, Duration = 5.05 seconds
    Path 54: Length = 0.66 units, Duration = 5.03 seconds
    Path 55: Length = 0.66 units, Duration = 5.03 seconds
    Path 56: Length = 0.66 units, Duration = 5.02 seconds
    Path 57: Length = 0.63 units, Duration = 5.05 seconds
    Path 58: Length = 0.67 units, Duration = 5.01 seconds
    Path 59: Length = 0.65 units, Duration = 5.04 seconds
    Path 60: Length = 0.66 units, Duration = 5.35 seconds
    Path 61: Length = 0.65 units, Duration = 5.03 seconds
    Path 62: Length = 0.65 units, Duration = 5.04 seconds
    Path 63: Length = 0.66 units, Duration = 5.12 seconds
    Path 64: Length = 0.66 units, Duration = 5.06 seconds
    Path 65: Length = 0.63 units, Duration = 5.44 seconds
    Path 66: Length = 0.66 units, Duration = 5.04 seconds
    Path 67: Length = 0.65 units, Duration = 5.89 seconds
    Path 68: Length = 0.63 units, Duration = 7.18 seconds
    Path 69: Length = 0.67 units, Duration = 5.01 seconds
    Path 70: Length = 0.66 units, Duration = 5.05 seconds
    Path 71: Length = 0.66 units, Duration = 5.04 seconds
    Path 72: Length = 0.65 units, Duration = 6.5 seconds
    Path 73: Length = 0.65 units, Duration = 5.04 seconds
    Path 74: Length = 0.66 units, Duration = 5.04 seconds
    Path 75: Length = 0.66 units, Duration = 6.48 seconds
    Path 76: Length = 0.66 units, Duration = 6.42 seconds
    Path 77: Length = 0.66 units, Duration = 5.03 seconds
    Path 78: Length = 0.65 units, Duration = 7.79 seconds
    Path 79: Length = 0.65 units, Duration = 5.04 seconds
    Path 80: Length = 0.66 units, Duration = 5.53 seconds
    Path 81: Length = 0.67 units, Duration = 5.26 seconds
    Path 82: Length = 0.66 units, Duration = 5.03 seconds
    Path 83: Length = 0.63 units, Duration = 5.07 seconds
    Path 84: Length = 0.66 units, Duration = 5.02 seconds
    Path 85: Length = 0.66 units, Duration = 5.04 seconds
    Path 86: Length = 0.63 units, Duration = 5.06 seconds
    Path 87: Length = 0.66 units, Duration = 5.04 seconds
    Path 88: Length = 0.66 units, Duration = 5.04 seconds
    Path 89: Length = 0.66 units, Duration = 5.02 seconds
    Path 90: Length = 0.66 units, Duration = 6.02 seconds
    Path 91: Length = 0.66 units, Duration = 5.02 seconds
    Path 92: Length = 0.63 units, Duration = 5.05 seconds
    Path 93: Length = 0.66 units, Duration = 5.04 seconds
    Path 94: Length = 0.63 units, Duration = 5.85 seconds
    Path 95: Length = 0.67 units, Duration = 5.05 seconds
    Path 96: Length = 0.66 units, Duration = 5.06 seconds
    Path 97: Length = 0.67 units, Duration = 5.02 seconds
    Path 98: Length = 0.66 units, Duration = 5.05 seconds
    Path 99: Length = 0.66 units, Duration = 6.9 seconds
    Path 100: Length = 0.67 units, Duration = 5.03 seconds

Planner: AITstar
  Status: Failed
  Error Message: None

Planner: LBTRRT
  Status: Successful
  Total Time Taken: 505.73 seconds
  Number of Paths: 100
  Average Path Length: 0.7536000000000002
  Shortest Path Length: 0.66
  Longest Path Length: 0.85
  Path Length Std Dev: 0.04830155277007149
  Average Time Per Path: 5.0569999999999995 seconds
  Time Per Path Std Dev: 0.013379088160259688 seconds

  Paths:
    Path 1: Length = 0.75 units, Duration = 5.03 seconds
    Path 2: Length = 0.72 units, Duration = 5.06 seconds
    Path 3: Length = 0.68 units, Duration = 5.07 seconds
    Path 4: Length = 0.76 units, Duration = 5.07 seconds
    Path 5: Length = 0.77 units, Duration = 5.08 seconds
    Path 6: Length = 0.68 units, Duration = 5.07 seconds
    Path 7: Length = 0.71 units, Duration = 5.06 seconds
    Path 8: Length = 0.7 units, Duration = 5.05 seconds
    Path 9: Length = 0.78 units, Duration = 5.08 seconds
    Path 10: Length = 0.69 units, Duration = 5.06 seconds
    Path 11: Length = 0.81 units, Duration = 5.08 seconds
    Path 12: Length = 0.78 units, Duration = 5.07 seconds
    Path 13: Length = 0.77 units, Duration = 5.06 seconds
    Path 14: Length = 0.85 units, Duration = 5.05 seconds
    Path 15: Length = 0.76 units, Duration = 5.08 seconds
    Path 16: Length = 0.74 units, Duration = 5.06 seconds
    Path 17: Length = 0.82 units, Duration = 5.08 seconds
    Path 18: Length = 0.83 units, Duration = 5.06 seconds
    Path 19: Length = 0.71 units, Duration = 5.06 seconds
    Path 20: Length = 0.84 units, Duration = 5.04 seconds
    Path 21: Length = 0.72 units, Duration = 5.04 seconds
    Path 22: Length = 0.78 units, Duration = 5.05 seconds
    Path 23: Length = 0.71 units, Duration = 5.07 seconds
    Path 24: Length = 0.82 units, Duration = 5.06 seconds
    Path 25: Length = 0.83 units, Duration = 5.05 seconds
    Path 26: Length = 0.82 units, Duration = 5.04 seconds
    Path 27: Length = 0.78 units, Duration = 5.05 seconds
    Path 28: Length = 0.81 units, Duration = 5.05 seconds
    Path 29: Length = 0.72 units, Duration = 5.07 seconds
    Path 30: Length = 0.79 units, Duration = 5.06 seconds
    Path 31: Length = 0.83 units, Duration = 5.05 seconds
    Path 32: Length = 0.74 units, Duration = 5.05 seconds
    Path 33: Length = 0.7 units, Duration = 5.04 seconds
    Path 34: Length = 0.7 units, Duration = 5.05 seconds
    Path 35: Length = 0.69 units, Duration = 5.08 seconds
    Path 36: Length = 0.84 units, Duration = 5.06 seconds
    Path 37: Length = 0.74 units, Duration = 5.06 seconds
    Path 38: Length = 0.71 units, Duration = 5.04 seconds
    Path 39: Length = 0.79 units, Duration = 5.05 seconds
    Path 40: Length = 0.78 units, Duration = 5.05 seconds
    Path 41: Length = 0.81 units, Duration = 5.08 seconds
    Path 42: Length = 0.77 units, Duration = 5.06 seconds
    Path 43: Length = 0.71 units, Duration = 5.05 seconds
    Path 44: Length = 0.71 units, Duration = 5.04 seconds
    Path 45: Length = 0.69 units, Duration = 5.05 seconds
    Path 46: Length = 0.71 units, Duration = 5.05 seconds
    Path 47: Length = 0.74 units, Duration = 5.08 seconds
    Path 48: Length = 0.71 units, Duration = 5.06 seconds
    Path 49: Length = 0.66 units, Duration = 5.05 seconds
    Path 50: Length = 0.71 units, Duration = 5.05 seconds
    Path 51: Length = 0.81 units, Duration = 5.04 seconds
    Path 52: Length = 0.84 units, Duration = 5.05 seconds
    Path 53: Length = 0.76 units, Duration = 5.07 seconds
    Path 54: Length = 0.72 units, Duration = 5.05 seconds
    Path 55: Length = 0.7 units, Duration = 5.05 seconds
    Path 56: Length = 0.81 units, Duration = 5.06 seconds
    Path 57: Length = 0.77 units, Duration = 5.04 seconds
    Path 58: Length = 0.74 units, Duration = 5.05 seconds
    Path 59: Length = 0.72 units, Duration = 5.07 seconds
    Path 60: Length = 0.8 units, Duration = 5.06 seconds
    Path 61: Length = 0.72 units, Duration = 5.05 seconds
    Path 62: Length = 0.74 units, Duration = 5.07 seconds
    Path 63: Length = 0.74 units, Duration = 5.04 seconds
    Path 64: Length = 0.74 units, Duration = 5.04 seconds
    Path 65: Length = 0.79 units, Duration = 5.07 seconds
    Path 66: Length = 0.8 units, Duration = 5.06 seconds
    Path 67: Length = 0.73 units, Duration = 5.06 seconds
    Path 68: Length = 0.68 units, Duration = 5.07 seconds
    Path 69: Length = 0.79 units, Duration = 5.08 seconds
    Path 70: Length = 0.77 units, Duration = 5.04 seconds
    Path 71: Length = 0.72 units, Duration = 5.06 seconds
    Path 72: Length = 0.69 units, Duration = 5.06 seconds
    Path 73: Length = 0.68 units, Duration = 5.05 seconds
    Path 74: Length = 0.7 units, Duration = 5.03 seconds
    Path 75: Length = 0.73 units, Duration = 5.08 seconds
    Path 76: Length = 0.72 units, Duration = 5.04 seconds
    Path 77: Length = 0.73 units, Duration = 5.07 seconds
    Path 78: Length = 0.72 units, Duration = 5.05 seconds
    Path 79: Length = 0.83 units, Duration = 5.05 seconds
    Path 80: Length = 0.73 units, Duration = 5.05 seconds
    Path 81: Length = 0.85 units, Duration = 5.07 seconds
    Path 82: Length = 0.71 units, Duration = 5.03 seconds
    Path 83: Length = 0.7 units, Duration = 5.06 seconds
    Path 84: Length = 0.81 units, Duration = 5.06 seconds
    Path 85: Length = 0.73 units, Duration = 5.06 seconds
    Path 86: Length = 0.74 units, Duration = 5.04 seconds
    Path 87: Length = 0.73 units, Duration = 5.07 seconds
    Path 88: Length = 0.7 units, Duration = 5.08 seconds
    Path 89: Length = 0.74 units, Duration = 5.06 seconds
    Path 90: Length = 0.81 units, Duration = 5.05 seconds
    Path 91: Length = 0.78 units, Duration = 5.05 seconds
    Path 92: Length = 0.76 units, Duration = 5.08 seconds
    Path 93: Length = 0.81 units, Duration = 5.07 seconds
    Path 94: Length = 0.76 units, Duration = 5.03 seconds
    Path 95: Length = 0.8 units, Duration = 5.06 seconds
    Path 96: Length = 0.84 units, Duration = 5.05 seconds
    Path 97: Length = 0.75 units, Duration = 5.06 seconds
    Path 98: Length = 0.79 units, Duration = 5.04 seconds
    Path 99: Length = 0.76 units, Duration = 5.07 seconds
    Path 100: Length = 0.7 units, Duration = 5.04 seconds

Planner: ST-RRTstar
  Status: Failed
  Error Message: Error occurred for planner ST-RRTstar: 'NoneType' object is not callable

Planner: CForest
  Status: Failed
  Error Message: Error occurred for planner CForest: 'NoneType' object is not callable

Planner: APS
  Status: Failed
  Error Message: Error occurred for planner APS: 'NoneType' object is not callable

Planner: SyCLoP
  Status: Failed
  Error Message: Error occurred for planner SyCLoP: 'NoneType' object is not callable

Planner: LTLPlanner
  Status: Failed
  Error Message: Error occurred for planner LTLPlanner: 'NoneType' object is not callable

Planner: SPQRstar
  Status: Failed
  Error Message: Error occurred for planner SPQRstar: 'NoneType' object is not callable

